plz,name,canton,canton_name,municipality
3206,Biberen,BE,Bern / Berne,
3206,Ferenbalm,BE,Bern / Berne,
3206,Gammen,BE,Bern / Berne,
3206,Rizenbach,BE,Bern / Berne,
3207,Golaten,FR,Fribourg / Freiburg,
3207,Wileroltigen,FR,Fribourg / Freiburg,
3208,Gurbrü,BE,Bern / Berne,
3210,Kerzers,FR,Fribourg / Freiburg,
3212,Gurmels,FR,Fribourg / Freiburg,
3212,Kleingurmels,FR,Fribourg / Freiburg,
3213,Kleinbösingen,FR,Fribourg / Freiburg,
3213,Liebistorf,FR,Fribourg / Freiburg,
3214,Ulmiz,FR,Fribourg / Freiburg,
3215,Büchslen,FR,Fribourg / Freiburg,
3215,Gempenach,FR,Fribourg / Freiburg,
3215,Lurtigen,FR,Fribourg / Freiburg,
3216,Agriswil,FR,Fribourg / Freiburg,
3216,Ried b. Kerzers,FR,Fribourg / Freiburg,
3225,Müntschemier,BE,Bern / Berne,
3226,Treiten,BE,Bern / Berne,
3232,Ins,BE,Bern / Berne,
3233,Tschugg,BE,Bern / Berne,
3234,Vinelz,BE,Bern / Berne,
3235,Erlach,BE,Bern / Berne,
3236,Gampelen,FR,Fribourg / Freiburg,
3237,Brüttelen,BE,Bern / Berne,
3238,Gals,BE,Bern / Berne,
3250,Lyss,BE,Bern / Berne,
3251,Ruppoldsried,BE,Bern / Berne,
3251,Wengi b. Büren,BE,Bern / Berne,
3252,Worben,BE,Bern / Berne,
3253,Schnottwil,SO,Solothurn,
3254,Balm b. Messen,SO,Solothurn,
3254,Messen,SO,Solothurn,
3255,Rapperswil BE,BE,Bern / Berne,
3256,Bangerten b. Dieterswil,BE,Bern / Berne,
3256,Dieterswil,BE,Bern / Berne,
3256,Seewil,BE,Bern / Berne,
3257,Ammerzwil BE,BE,Bern / Berne,
3257,Grossaffoltern,BE,Bern / Berne,
3262,Suberg,BE,Bern / Berne,
3263,Büetigen,BE,Bern / Berne,
3264,Diessbach b. Büren,BE,Bern / Berne,
3266,Wiler b. Seedorf,BE,Bern / Berne,
3267,Seedorf BE,BE,Bern / Berne,
3268,Lobsigen,BE,Bern / Berne,
3270,Aarberg,BE,Bern / Berne,
3271,Radelfingen b. Aarberg,BE,Bern / Berne,
3272,Epsach,BE,Bern / Berne,
3272,Walperswil,BE,Bern / Berne,
3273,Kappelen,BE,Bern / Berne,
